train_loss,epoch,step,val_loss,val_acc
2.4673218727111816,0,49,,
2.305607557296753,0,99,,
2.4049086570739746,0,149,,
,0,167,2.3603925704956055,0.12965722382068634
2.372624397277832,1,199,,
2.3518662452697754,1,249,,
2.0652568340301514,1,299,,
,1,335,2.2858498096466064,0.17734724283218384
2.2695772647857666,2,349,,
2.2311220169067383,2,399,,
2.185058832168579,2,449,,
2.155651092529297,2,499,,
,2,503,2.1904566287994385,0.2473919540643692
2.107722282409668,3,549,,
2.084195613861084,3,599,,
2.0266335010528564,3,649,,
,3,671,2.166287660598755,0.23695975542068481
2.059569835662842,4,699,,
1.946094036102295,4,749,,
2.144498586654663,4,799,,
,4,839,2.1290130615234375,0.2742175757884979
2.1816680431365967,5,849,,
2.0033187866210938,5,899,,
2.1011300086975098,5,949,,
2.14713716506958,5,999,,
,5,1007,2.0919411182403564,0.2950819730758667
1.9396344423294067,6,1049,,
2.1974685192108154,6,1099,,
2.0770998001098633,6,1149,,
,6,1175,2.064504861831665,0.29061102867126465
1.9038829803466797,7,1199,,
1.9901930093765259,7,1249,,
2.0755388736724854,7,1299,,
,7,1343,2.025467872619629,0.314456045627594
1.9347708225250244,8,1349,,
1.8901103734970093,8,1399,,
1.8471266031265259,8,1449,,
2.1762006282806396,8,1499,,
,8,1511,2.0205070972442627,0.3323397934436798
1.8434982299804688,9,1549,,
1.8229891061782837,9,1599,,
2.050178050994873,9,1649,,
,9,1679,2.0059337615966797,0.33681073784828186
1.8105506896972656,10,1699,,
1.8818273544311523,10,1749,,
1.7356711626052856,10,1799,,
,10,1847,1.9704811573028564,0.32637855410575867
1.851263403892517,11,1849,,
1.8569698333740234,11,1899,,
1.6785675287246704,11,1949,,
1.7666853666305542,11,1999,,
,11,2015,1.981501579284668,0.33830103278160095
1.4926496744155884,12,2049,,
1.5948662757873535,12,2099,,
1.900829553604126,12,2149,,
,12,2183,1.9676527976989746,0.35618481040000916
1.7443675994873047,13,2199,,
1.5973296165466309,13,2249,,
1.6831616163253784,13,2299,,
1.7775352001190186,13,2349,,
,13,2351,2.0225205421447754,0.3338301181793213
1.6088353395462036,14,2399,,
1.8163559436798096,14,2449,,
1.6805241107940674,14,2499,,
,14,2519,1.9675962924957275,0.3636363744735718
1.546936273574829,15,2549,,
1.5670770406723022,15,2599,,
1.6109001636505127,15,2649,,
,15,2687,2.0472748279571533,0.31892696022987366
1.5889503955841064,16,2699,,
1.564414381980896,16,2749,,
1.4804073572158813,16,2799,,
1.314138650894165,16,2849,,
,16,2855,2.0347704887390137,0.32935917377471924
1.4078655242919922,17,2899,,
1.5369528532028198,17,2949,,
1.6461091041564941,17,2999,,
,17,3023,2.0452017784118652,0.3219076097011566
1.4389158487319946,18,3049,,
1.6446425914764404,18,3099,,
2.0900893211364746,18,3149,,
,18,3191,2.0814433097839355,0.32041728496551514
1.3389277458190918,19,3199,,
1.6156901121139526,19,3249,,
1.7247823476791382,19,3299,,
1.43772292137146,19,3349,,
,19,3359,2.091022253036499,0.3055141568183899
1.4856760501861572,20,3399,,
1.3069511651992798,20,3449,,
1.5704058408737183,20,3499,,
,20,3527,2.093216896057129,0.3442623019218445
1.334429383277893,21,3549,,
0.9480584859848022,21,3599,,
1.705034613609314,21,3649,,
,21,3695,2.1593220233917236,0.33830103278160095
1.2158877849578857,22,3699,,
1.2986812591552734,22,3749,,
1.1883982419967651,22,3799,,
1.5122066736221313,22,3849,,
,22,3863,2.1174874305725098,0.3412816822528839
1.237593412399292,23,3899,,
1.4764795303344727,23,3949,,
1.4659216403961182,23,3999,,
