train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
2.342989444732666,0,49,,,
2.37137508392334,0,99,,,
2.3243627548217773,0,149,,,
,0,167,2.3735382556915283,0.13114753365516663,
,0,167,,,2.363180637359619
2.4653255939483643,1,199,,,
2.3139150142669678,1,249,,,
2.194234848022461,1,299,,,
,1,335,2.2662863731384277,0.1907600611448288,
,1,335,,,2.258009433746338
2.355605125427246,2,349,,,
2.248788833618164,2,399,,,
2.030228853225708,2,449,,,
2.141252279281616,2,499,,,
,2,503,2.2041923999786377,0.23994038999080658,
,2,503,,,2.19205379486084
2.25337815284729,3,549,,,
2.186924695968628,3,599,,,
2.046363592147827,3,649,,,
,3,671,2.171382427215576,0.25037258863449097,
,3,671,,,2.1572396755218506
2.226550340652466,4,699,,,
2.111055612564087,4,749,,,
2.1522748470306396,4,799,,,
,4,839,2.1337807178497314,0.24143069982528687,
,4,839,,,2.122346878051758
2.2698781490325928,5,849,,,
1.924604892730713,5,899,,,
1.842377781867981,5,949,,,
2.2591896057128906,5,999,,,
,5,1007,2.0889697074890137,0.2950819730758667,
,5,1007,,,2.084033966064453
2.3370072841644287,6,1049,,,
2.102128267288208,6,1099,,,
2.0332438945770264,6,1149,,,
,6,1175,2.0661635398864746,0.2950819730758667,
,6,1175,,,2.0360000133514404
2.094341278076172,7,1199,,,
1.9458032846450806,7,1249,,,
1.9760891199111938,7,1299,,,
,7,1343,2.048476219177246,0.31892696022987366,
,7,1343,,,1.9916160106658936
1.884037971496582,8,1349,,,
1.7588613033294678,8,1399,,,
1.8571449518203735,8,1449,,,
1.7884639501571655,8,1499,,,
,8,1511,2.027796506881714,0.31147539615631104,
,8,1511,,,1.9452720880508423
1.8833125829696655,9,1549,,,
1.6843109130859375,9,1599,,,
1.8434444665908813,9,1649,,,
,9,1679,1.982742428779602,0.3323397934436798,
,9,1679,,,1.8918802738189697
1.833979606628418,10,1699,,,
1.8630317449569702,10,1749,,,
1.6595910787582397,10,1799,,,
,10,1847,1.9879341125488281,0.32041728496551514,
,10,1847,,,1.8510979413986206
1.8368468284606934,11,1849,,,
1.9150402545928955,11,1899,,,
1.670821189880371,11,1949,,,
1.88811457157135,11,1999,,,
,11,2015,1.9886311292648315,0.33084946870803833,
,11,2015,,,1.8109170198440552
1.7229384183883667,12,2049,,,
1.6452770233154297,12,2099,,,
2.0158944129943848,12,2149,,,
,12,2183,1.9853346347808838,0.3323397934436798,
,12,2183,,,1.7650041580200195
1.2895333766937256,13,2199,,,
1.6600089073181152,13,2249,,,
1.6010476350784302,13,2299,,,
1.639764428138733,13,2349,,,
,13,2351,1.9706902503967285,0.342771977186203,
,13,2351,,,1.733595848083496
1.741840124130249,14,2399,,,
1.7685267925262451,14,2449,,,
1.754242181777954,14,2499,,,
,14,2519,1.970018744468689,0.32935917377471924,
,14,2519,,,1.6841894388198853
1.631162166595459,15,2549,,,
1.7607026100158691,15,2599,,,
1.4198758602142334,15,2649,,,
,15,2687,2.015390157699585,0.314456045627594,
,15,2687,,,1.6478822231292725
1.3757880926132202,16,2699,,,
1.7134414911270142,16,2749,,,
2.109036445617676,16,2799,,,
1.6575995683670044,16,2849,,,
,16,2855,1.9656182527542114,0.32935917377471924,
,16,2855,,,1.6111979484558105
1.4752205610275269,17,2899,,,
1.813859224319458,17,2949,,,
1.8363354206085205,17,2999,,,
,17,3023,2.005995512008667,0.3323397934436798,
,17,3023,,,1.5644489526748657
1.320847749710083,18,3049,,,
1.689141869544983,18,3099,,,
1.6937344074249268,18,3149,,,
,18,3191,2.022958278656006,0.3233979046344757,
,18,3191,,,1.5291674137115479
1.6923216581344604,19,3199,,,
1.433567762374878,19,3249,,,
1.5857350826263428,19,3299,,,
1.5031170845031738,19,3349,,,
,19,3359,2.0224902629852295,0.314456045627594,
,19,3359,,,1.486845850944519
1.3353071212768555,20,3399,,,
1.9276381731033325,20,3449,,,
1.217591404914856,20,3499,,,
,20,3527,2.028168201446533,0.3353204131126404,
,20,3527,,,1.4590673446655273
1.7081282138824463,21,3549,,,
1.6303941011428833,21,3599,,,
1.4785486459732056,21,3649,,,
,21,3695,2.0599162578582764,0.31892696022987366,
,21,3695,,,1.4192253351211548
