train_loss,epoch,step,val_loss
2.3397040367126465,0,49,
2.390414237976074,0,99,
2.395111560821533,0,149,
,0,167,2.375413179397583
2.3345272541046143,1,199,
2.2603394985198975,1,249,
2.348982810974121,1,299,
,1,335,2.2850325107574463
2.1957595348358154,2,349,
2.112717628479004,2,399,
2.1115505695343018,2,449,
2.0932884216308594,2,499,
,2,503,2.2353639602661133
2.099714994430542,3,549,
2.1148674488067627,3,599,
2.2784552574157715,3,649,
,3,671,2.182558536529541
2.2479443550109863,4,699,
2.0854523181915283,4,749,
2.2645349502563477,4,799,
,4,839,2.162954807281494
1.9192289113998413,5,849,
2.058227062225342,5,899,
2.1999616622924805,5,949,
2.2546608448028564,5,999,
,5,1007,2.110240936279297
1.9818389415740967,6,1049,
2.044222354888916,6,1099,
2.1221630573272705,6,1149,
,6,1175,2.076272964477539
2.0737249851226807,7,1199,
2.134493589401245,7,1249,
2.099163770675659,7,1299,
,7,1343,2.088883638381958
2.190950870513916,8,1349,
1.831126093864441,8,1399,
1.9022579193115234,8,1449,
2.389409065246582,8,1499,
,8,1511,2.0558125972747803
1.9347585439682007,9,1549,
2.279759407043457,9,1599,
1.9540174007415771,9,1649,
,9,1679,2.061845541000366
1.7084999084472656,10,1699,
1.9855130910873413,10,1749,
1.8293005228042603,10,1799,
,10,1847,2.0200021266937256
1.9040356874465942,11,1849,
2.0482370853424072,11,1899,
2.0532147884368896,11,1949,
2.2039058208465576,11,1999,
,11,2015,2.008002519607544
1.7864097356796265,12,2049,
1.7155059576034546,12,2099,
1.9400795698165894,12,2149,
,12,2183,2.0523712635040283
1.715712547302246,13,2199,
1.6984095573425293,13,2249,
1.71514892578125,13,2299,
1.683458685874939,13,2349,
,13,2351,1.9825695753097534
1.9518400430679321,14,2399,
1.9411511421203613,14,2449,
1.9084937572479248,14,2499,
,14,2519,1.9689218997955322
1.540750503540039,15,2549,
1.7649706602096558,15,2599,
1.632829189300537,15,2649,
,15,2687,1.9806523323059082
1.6101863384246826,16,2699,
1.715329885482788,16,2749,
1.5801488161087036,16,2799,
1.573427677154541,16,2849,
,16,2855,1.98966383934021
1.4180223941802979,17,2899,
1.4931161403656006,17,2949,
1.7033952474594116,17,2999,
,17,3023,1.9903630018234253
1.3623203039169312,18,3049,
1.3334025144577026,18,3099,
1.6246391534805298,18,3149,
,18,3191,2.031934976577759
1.3625859022140503,19,3199,
1.4890049695968628,19,3249,
1.6641185283660889,19,3299,
1.323418378829956,19,3349,
,19,3359,2.0262222290039062
1.5351638793945312,20,3399,
1.5646581649780273,20,3449,
1.2896137237548828,20,3499,
,20,3527,1.9871762990951538
1.2756474018096924,21,3549,
1.383592963218689,21,3599,
1.7364071607589722,21,3649,
,21,3695,2.0487918853759766
1.2088563442230225,22,3699,
1.5936275720596313,22,3749,
1.405460000038147,22,3799,
1.5997833013534546,22,3849,
,22,3863,2.086855411529541
1.4749929904937744,23,3899,
1.6426794528961182,23,3949,
1.713754653930664,23,3999,
,23,4031,2.0474190711975098
1.4476436376571655,24,4049,
1.4401004314422607,24,4099,
1.3421945571899414,24,4149,
1.3609129190444946,24,4199,
,24,4199,2.127781391143799
1.0505201816558838,25,4249,
1.3227238655090332,25,4299,
1.1001648902893066,25,4349,
,25,4367,2.150498390197754
1.4926706552505493,26,4399,
1.4157483577728271,26,4449,
1.018687129020691,26,4499,
,26,4535,2.2217304706573486
1.107556700706482,27,4549,
1.051027536392212,27,4599,
1.4173998832702637,27,4649,
1.067179799079895,27,4699,
,27,4703,2.172653913497925
1.0265717506408691,28,4749,
1.1488440036773682,28,4799,
1.1694273948669434,28,4849,
,28,4871,2.2570462226867676
1.2528399229049683,29,4899,
1.8217192888259888,29,4949,
1.087909460067749,29,4999,
,29,5039,2.1945266723632812
1.2509617805480957,30,5049,
1.3732342720031738,30,5099,
1.0619502067565918,30,5149,
1.181217908859253,30,5199,
,30,5207,2.3398351669311523
1.150772213935852,31,5249,
1.0527455806732178,31,5299,
0.9425523281097412,31,5349,
,31,5375,2.3820977210998535
0.9565385580062866,32,5399,
1.0001378059387207,32,5449,
0.9395308494567871,32,5499,
,32,5543,2.3861172199249268
1.1653822660446167,33,5549,
1.2541521787643433,33,5599,
1.4116860628128052,33,5649,
1.016347885131836,33,5699,
,33,5711,2.416048288345337
0.9897860884666443,34,5749,
0.7607680559158325,34,5799,
0.8252862691879272,34,5849,
,34,5879,2.5063834190368652
0.9014992117881775,35,5899,
0.8599054217338562,35,5949,
0.9014768600463867,35,5999,
,35,6047,2.4848952293395996
1.0031771659851074,36,6049,
0.8704525828361511,36,6099,
1.2184443473815918,36,6149,
0.9009070992469788,36,6199,
,36,6215,2.5102481842041016
0.5980406999588013,37,6249,
0.9130644798278809,37,6299,
0.8791180849075317,37,6349,
,37,6383,2.563997507095337
0.741894543170929,38,6399,
0.8738056421279907,38,6449,
0.8129622936248779,38,6499,
1.2366724014282227,38,6549,
,38,6551,2.5199530124664307
0.6005419492721558,39,6599,
0.4823838472366333,39,6649,
0.6394614577293396,39,6699,
,39,6719,2.651175022125244
0.6125175356864929,40,6749,
1.2962982654571533,40,6799,
1.483241081237793,40,6849,
,40,6887,2.7903711795806885
0.5417098999023438,41,6899,
