val_loss,epoch,step
2.3643295764923096,0,167
2.23905086517334,1,335
2.217036008834839,2,503
2.1757004261016846,3,671
2.133105993270874,4,839
2.133868932723999,5,1007
2.1226205825805664,6,1175
2.1663267612457275,7,1343
2.0677073001861572,8,1511
2.0468413829803467,9,1679
2.098325490951538,10,1847
2.0307202339172363,11,2015
2.118448495864868,12,2183
2.118328332901001,13,2351
2.059142827987671,14,2519
2.077862501144409,15,2687
2.0718283653259277,16,2855
2.123492479324341,17,3023
2.1286911964416504,18,3191
2.099259614944458,19,3359
2.210075616836548,20,3527
2.1805694103240967,21,3695
2.168374538421631,22,3863
2.1776764392852783,23,4031
2.2428064346313477,24,4199
2.286736488342285,25,4367
2.2495086193084717,26,4535
2.304945945739746,27,4703
2.342726945877075,28,4871
2.384439706802368,29,5039
2.4148001670837402,30,5207
2.4761579036712646,31,5375
2.3990533351898193,32,5543
2.5680041313171387,33,5711
2.6366891860961914,34,5879
2.635284185409546,35,6047
2.6465229988098145,36,6215
2.677985191345215,37,6383
2.682567596435547,38,6551
2.730581283569336,39,6719
2.7939677238464355,40,6887
2.8571598529815674,41,7055
2.8512048721313477,42,7223
2.9452109336853027,43,7391
2.9230425357818604,44,7559
3.1293182373046875,45,7727
3.026184558868408,46,7895
3.053680419921875,47,8063
3.1403234004974365,48,8231
3.136651039123535,49,8399
3.1337013244628906,50,8567
3.335231304168701,51,8735
3.311896800994873,52,8903
3.3395447731018066,53,9071
3.310180187225342,54,9239
3.4738893508911133,55,9407
3.444232225418091,56,9575
3.4868366718292236,57,9743
3.5613837242126465,58,9911
3.647846221923828,59,10079
3.691575527191162,60,10247
3.717974901199341,61,10415
3.678454875946045,62,10583
3.679210901260376,63,10751
3.7297770977020264,64,10919
3.697678565979004,65,11087
3.752765655517578,66,11255
3.724914312362671,67,11423
3.756274938583374,68,11591
4.012833595275879,69,11759
3.8788225650787354,70,11927
4.023804664611816,71,12095
3.9349093437194824,72,12263
4.088981628417969,73,12431
4.056558132171631,74,12599
4.002657890319824,75,12767
3.9929726123809814,76,12935
4.09633207321167,77,13103
4.1634368896484375,78,13271
4.365769863128662,79,13439
4.180603504180908,80,13607
4.055251598358154,81,13775
4.143937110900879,82,13943
4.184285640716553,83,14111
4.340403079986572,84,14279
4.4225568771362305,85,14447
4.350818634033203,86,14615
4.365878582000732,87,14783
4.304554462432861,88,14951
4.2821855545043945,89,15119
4.390733242034912,90,15287
4.470909595489502,91,15455
4.483428478240967,92,15623
4.450837135314941,93,15791
4.532064437866211,94,15959
4.598127841949463,95,16127
4.708366394042969,96,16295
4.4169745445251465,97,16463
4.545056343078613,98,16631
4.500055313110352,99,16799
9.832829475402832,100,16800
9.832829475402832,100,16800
