train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
2.3309457302093506,0,49,,,
2.3750269412994385,0,99,,,
2.3301095962524414,0,149,,,
,0,167,2.3830161094665527,0.1430700421333313,
,0,167,,,2.3684802055358887
2.347576141357422,1,199,,,
2.5262348651885986,1,249,,,
2.204484462738037,1,299,,,
,1,335,2.246230125427246,0.2101341336965561,
,1,335,,,2.3013694286346436
2.2270302772521973,2,349,,,
2.187614679336548,2,399,,,
2.2507078647613525,2,449,,,
2.090043067932129,2,499,,,
,2,503,2.2381181716918945,0.201192244887352,
,2,503,,,2.19453763961792
2.136146068572998,3,549,,,
2.1755142211914062,3,599,,,
2.097085475921631,3,649,,,
,3,671,2.1895291805267334,0.25037258863449097,
,3,671,,,2.162461042404175
2.0891969203948975,4,699,,,
2.0798733234405518,4,749,,,
2.217689275741577,4,799,,,
,4,839,2.1521198749542236,0.25484350323677063,
,4,839,,,2.1268250942230225
2.0257644653320312,5,849,,,
2.126293897628784,5,899,,,
2.1462461948394775,5,949,,,
2.188227653503418,5,999,,,
,5,1007,2.137521743774414,0.26229506731033325,
,5,1007,,,2.089228868484497
1.9395017623901367,6,1049,,,
1.820664644241333,6,1099,,,
2.0913238525390625,6,1149,,,
,6,1175,2.077143430709839,0.29806259274482727,
,6,1175,,,2.0509941577911377
1.9410912990570068,7,1199,,,
1.8603252172470093,7,1249,,,
1.9330061674118042,7,1299,,,
,7,1343,2.094280481338501,0.28017884492874146,
,7,1343,,,2.000816583633423
2.096846103668213,8,1349,,,
2.191441535949707,8,1399,,,
1.772006869316101,8,1449,,,
1.8256549835205078,8,1499,,,
,8,1511,2.051669120788574,0.2876304090023041,
,8,1511,,,1.9639135599136353
2.249558687210083,9,1549,,,
1.9854354858398438,9,1599,,,
2.1082708835601807,9,1649,,,
,9,1679,2.0852136611938477,0.2861400842666626,
,9,1679,,,1.9206839799880981
1.986000895500183,10,1699,,,
1.7310757637023926,10,1749,,,
1.6496917009353638,10,1799,,,
,10,1847,2.026733636856079,0.2965722680091858,
,10,1847,,,1.8890485763549805
1.918876051902771,11,1849,,,
1.8664511442184448,11,1899,,,
1.731266975402832,11,1949,,,
1.9607373476028442,11,1999,,,
,11,2015,2.0608112812042236,0.3025335371494293,
,11,2015,,,1.8501100540161133
1.8110249042510986,12,2049,,,
1.8027852773666382,12,2099,,,
2.134242057800293,12,2149,,,
,12,2183,2.040402889251709,0.314456045627594,
,12,2183,,,1.8080025911331177
1.6223878860473633,13,2199,,,
1.5546915531158447,13,2249,,,
1.8226728439331055,13,2299,,,
1.9594777822494507,13,2349,,,
,13,2351,2.0577309131622314,0.29061102867126465,
,13,2351,,,1.767374038696289
1.5749099254608154,14,2399,,,
1.7151744365692139,14,2449,,,
1.9643675088882446,14,2499,,,
,14,2519,2.0657899379730225,0.32637855410575867,
,14,2519,,,1.7169374227523804
1.5543155670166016,15,2549,,,
1.2290247678756714,15,2599,,,
1.6458348035812378,15,2649,,,
,15,2687,2.0162811279296875,0.3219076097011566,
,15,2687,,,1.681410551071167
1.7502058744430542,16,2699,,,
1.5776773691177368,16,2749,,,
1.5922188758850098,16,2799,,,
1.6850359439849854,16,2849,,,
,16,2855,2.0380501747131348,0.3338301181793213,
,16,2855,,,1.6300371885299683
1.7256253957748413,17,2899,,,
1.606560468673706,17,2949,,,
1.9675925970077515,17,2999,,,
,17,3023,2.035022735595703,0.3159463405609131,
,17,3023,,,1.6030752658843994
1.599400520324707,18,3049,,,
1.3618879318237305,18,3099,,,
1.5273215770721436,18,3149,,,
,18,3191,2.0602786540985107,0.3502235412597656,
,18,3191,,,1.548337459564209
1.9184329509735107,19,3199,,,
1.6516817808151245,19,3249,,,
1.7139744758605957,19,3299,,,
1.3586806058883667,19,3349,,,
,19,3359,2.067094087600708,0.3532041609287262,
,19,3359,,,1.5055630207061768
1.5284156799316406,20,3399,,,
1.6396456956863403,20,3449,,,
1.448979377746582,20,3499,,,
,20,3527,2.102968692779541,0.33084946870803833,
,20,3527,,,1.4659514427185059
