train_loss,epoch,step,val_loss,val_acc
2.3528995513916016,0,49,,
2.414897918701172,0,99,,
2.338747262954712,0,149,,
,0,167,2.36914324760437,0.1326378583908081
2.311023473739624,1,199,,
2.2379865646362305,1,249,,
2.2560744285583496,1,299,,
,1,335,2.2544922828674316,0.1997019350528717
2.3661017417907715,2,349,,
2.466271162033081,2,399,,
2.2028424739837646,2,449,,
2.1674978733062744,2,499,,
,2,503,2.1947219371795654,0.23099851608276367
1.9217019081115723,3,549,,
2.182075262069702,3,599,,
1.975223183631897,3,649,,
,3,671,2.186082124710083,0.23695975542068481
2.142487049102783,4,699,,
2.1609344482421875,4,749,,
2.328932285308838,4,799,,
,4,839,2.169440984725952,0.25335320830345154
2.148394823074341,5,849,,
2.324190139770508,5,899,,
2.012457847595215,5,949,,
2.0837602615356445,5,999,,
,5,1007,2.1355693340301514,0.25484350323677063
2.0045688152313232,6,1049,,
2.1593573093414307,6,1099,,
2.203268527984619,6,1149,,
,6,1175,2.105299234390259,0.2667660117149353
1.9821343421936035,7,1199,,
1.9363059997558594,7,1249,,
2.182192087173462,7,1299,,
,7,1343,2.081728458404541,0.2950819730758667
1.9363723993301392,8,1349,,
2.135498523712158,8,1399,,
1.970253825187683,8,1449,,
2.0526938438415527,8,1499,,
,8,1511,2.0899555683135986,0.2950819730758667
1.9692387580871582,9,1549,,
1.9944825172424316,9,1599,,
1.6933879852294922,9,1649,,
,9,1679,2.025416135787964,0.31147539615631104
1.8687783479690552,10,1699,,
2.0802600383758545,10,1749,,
1.7349308729171753,10,1799,,
,10,1847,2.0486555099487305,0.28912070393562317
1.811909794807434,11,1849,,
1.876220464706421,11,1899,,
1.6243312358856201,11,1949,,
1.6193625926971436,11,1999,,
,11,2015,1.9702810049057007,0.3323397934436798
1.8927230834960938,12,2049,,
1.6291240453720093,12,2099,,
1.9346816539764404,12,2149,,
,12,2183,2.0402674674987793,0.33979135751724243
1.6531569957733154,13,2199,,
1.8007081747055054,13,2249,,
1.5233463048934937,13,2299,,
1.8138813972473145,13,2349,,
,13,2351,1.975205898284912,0.32041728496551514
1.7503212690353394,14,2399,,
1.666414737701416,14,2449,,
1.5794389247894287,14,2499,,
,14,2519,1.9632152318954468,0.33830103278160095
1.6720683574676514,15,2549,,
1.7856396436691284,15,2599,,
1.4440703392028809,15,2649,,
,15,2687,2.003793716430664,0.3233979046344757
1.69306218624115,16,2699,,
1.9793967008590698,16,2749,,
1.5536856651306152,16,2799,,
1.7233092784881592,16,2849,,
,16,2855,1.9824769496917725,0.3442623019218445
1.3660873174667358,17,2899,,
1.741206407546997,17,2949,,
1.5221960544586182,17,2999,,
,17,3023,1.998294711112976,0.3353204131126404
1.4043887853622437,18,3049,,
1.7181003093719482,18,3099,,
1.379163146018982,18,3149,,
,18,3191,2.0393028259277344,0.3219076097011566
1.6249210834503174,19,3199,,
1.4370194673538208,19,3249,,
1.4388980865478516,19,3299,,
1.449013590812683,19,3349,,
,19,3359,2.0148138999938965,0.3233979046344757
